airportcode,passengers2019,quarter,fareinflationadj,winter,spring,summer,fall,northeast,midwest,south,west
SEA," 902,901 ",13,343.23,1,0,0,0,0,0,0,1
EWR," 849,241 ",13,421.58,1,0,0,0,1,0,0,0
DFW," 819,377 ",13,394.23,1,0,0,0,0,0,1,0
JFK," 760,592 ",13,411.18,1,0,0,0,1,0,0,0
LGA," 720,310 ",13,331.45,1,0,0,0,1,0,0,0
MCO," 709,887 ",13,255.14,1,0,0,0,0,0,1,0
PHX," 701,600 ",13,331.87,1,0,0,0,0,0,0,1
MSP," 644,236 ",13,403.16,1,0,0,0,0,1,0,0
LAS," 631,585 ",13,250.73,1,0,0,0,0,0,0,1
PHL," 607,992 ",13,391.61,1,0,0,0,1,0,0,0
SAN," 568,746 ",13,327.92,1,0,0,0,0,0,0,1
DTW," 565,317 ",13,393.84,1,0,0,0,0,1,0,0
FLL," 536,275 ",13,253.70,1,0,0,0,0,0,1,0
BWI," 536,148 ",13,321.62,1,0,0,0,0,0,1,0
DCA," 516,863 ",13,362.67,1,0,0,0,0,0,1,0
IAH," 498,139 ",13,435.00,1,0,0,0,0,0,1,0
PDX," 481,330 ",13,337.16,1,0,0,0,0,0,0,1
TPA," 452,816 ",13,309.85,1,0,0,0,0,0,1,0
AUS," 412,378 ",13,360.69,1,0,0,0,0,0,1,0
SLC," 391,333 ",13,372.40,1,0,0,0,0,0,0,1
CLT," 386,574 ",13,443.75,1,0,0,0,0,0,1,0
SJC," 384,362 ",13,290.35,1,0,0,0,0,0,0,1
RDU," 364,230 ",13,360.27,1,0,0,0,0,0,1,0
MIA," 353,159 ",13,330.13,1,0,0,0,0,0,1,0
SMF," 353,135 ",13,338.14,1,0,0,0,0,0,0,1
BNA," 351,195 ",13,363.88,1,0,0,0,0,0,1,0
MDW," 339,365 ",13,306.40,1,0,0,0,0,1,0,0
OAK," 330,576 ",13,282.08,1,0,0,0,0,0,0,1
STL," 315,638 ",13,372.18,1,0,0,0,0,1,0,0
MCI," 299,998 ",13,362.49,1,0,0,0,0,1,0,0
HNL," 295,221 ",13,369.91,1,0,0,0,0,0,0,1
IAD," 283,462 ",13,442.48,1,0,0,0,0,0,1,0
DAL," 279,833 ",13,300.85,1,0,0,0,0,0,1,0
CLE," 275,412 ",13,330.67,1,0,0,0,0,1,0,0
MSY," 267,473 ",13,310.08,1,0,0,0,0,0,1,0
IND," 266,197 ",13,351.90,1,0,0,0,0,1,0,0
PIT," 264,483 ",13,353.31,1,0,0,0,1,0,0,0
SNA," 253,110 ",13,361.12,1,0,0,0,0,0,0,1
CVG," 250,926 ",13,338.79,1,0,0,0,0,1,0,0
SAT," 238,614 ",13,371.64,1,0,0,0,0,0,1,0
HOU," 235,116 ",13,333.46,1,0,0,0,0,0,1,0
CMH," 231,767 ",13,374.44,1,0,0,0,0,1,0,0
BDL," 206,307 ",13,370.42,1,0,0,0,1,0,0,0
SJU," 200,811 ",13,276.75,1,0,0,0,0,0,1,0
MKE," 196,915 ",13,339.98,1,0,0,0,0,1,0,0
RSW," 178,463 ",13,302.78,1,0,0,0,0,0,1,0
JAX," 172,463 ",13,393.22,1,0,0,0,0,0,1,0
BUR," 167,487 ",13,261.36,1,0,0,0,0,0,0,1
PBI," 158,587 ",13,345.02,1,0,0,0,0,0,1,0
ONT," 157,682 ",13,326.36,1,0,0,0,0,0,0,1
BUF," 144,958 ",13,327.61,1,0,0,0,1,0,0,0
OMA," 140,073 ",13,374.01,1,0,0,0,0,1,0,0
ABQ," 128,946 ",13,340.67,1,0,0,0,0,0,0,1
RIC," 126,251 ",13,430.37,1,0,0,0,0,0,1,0
MEM," 124,411 ",13,405.85,1,0,0,0,0,0,1,0
PVD," 117,256 ",13,319.46,1,0,0,0,1,0,0,0
OKC," 117,098 ",13,404.67,1,0,0,0,0,0,1,0
BOI," 112,882 ",13,357.98,1,0,0,0,0,0,0,1
ORF," 109,959 ",13,429.34,1,0,0,0,0,0,1,0
GRR," 108,277 ",13,394.01,1,0,0,0,0,1,0,0
SDF," 107,604 ",13,403.19,1,0,0,0,0,0,1,0
GEG," 107,090 ",13,362.04,1,0,0,0,0,0,0,1
CHS," 106,675 ",13,391.49,1,0,0,0,0,0,1,0
ANC," 106,205 ",13,477.89,1,0,0,0,0,0,0,1
RNO," 101,528 ",13,348.91,1,0,0,0,0,0,0,1
LGB," 99,852 ",13,188.92,1,0,0,0,0,0,0,1
OGG," 99,815 ",13,318.24,1,0,0,0,0,0,0,1
ELP," 97,152 ",13,389.40,1,0,0,0,0,0,1,0
TUS," 96,391 ",13,393.66,1,0,0,0,0,0,0,1
ALB," 89,018 ",13,411.67,1,0,0,0,1,0,0,0
DSM," 83,986 ",13,394.12,1,0,0,0,0,1,0,0
BHM," 83,344 ",13,470.34,1,0,0,0,0,0,1,0
TUL," 81,978 ",13,410.27,1,0,0,0,0,0,1,0
SYR," 77,477 ",13,410.02,1,0,0,0,1,0,0,0
ROC," 76,097 ",13,383.64,1,0,0,0,1,0,0,0
GSP," 68,771 ",13,441.75,1,0,0,0,0,0,1,0
MSN," 67,555 ",13,500.31,1,0,0,0,0,1,0,0
TYS," 65,985 ",13,473.58,1,0,0,0,0,0,1,0
LIT," 59,997 ",13,452.12,1,0,0,0,0,0,1,0
KOA," 58,932 ",13,331.92,1,0,0,0,0,0,0,1
PWM," 58,841 ",13,385.08,1,0,0,0,1,0,0,0
SAV," 58,711 ",13,422.87,1,0,0,0,0,0,1,0
GSO," 56,458 ",13,459.85,1,0,0,0,0,0,1,0
HPN," 55,315 ",13,443.97,1,0,0,0,1,0,0,0
SFB," 52,979 ",13,121.69,1,0,0,0,0,0,1,0
PNS," 51,668 ",13,459.17,1,0,0,0,0,0,1,0
LIH," 50,998 ",13,296.46,1,0,0,0,0,0,0,1
FAT," 50,668 ",13,422.46,1,0,0,0,0,0,0,1
MHT," 50,192 ",13,382.71,1,0,0,0,1,0,0,0
ICT," 49,142 ",13,413.06,1,0,0,0,0,1,0,0
DAY," 46,771 ",13,417.39,1,0,0,0,0,1,0,0
XNA," 46,289 ",13,570.02,1,0,0,0,0,0,1,0
ISP," 46,103 ",13,260.82,1,0,0,0,1,0,0,0
PIE," 44,522 ",13,124.49,1,0,0,0,0,0,1,0
LAX," 1,401,452 ",14,361.80,0,1,0,0,0,0,0,1
ORD," 1,118,136 ",14,336.60,0,1,0,0,0,1,0,0
DEN," 1,035,031 ",14,310.92,0,1,0,0,0,0,0,1
ATL," 980,434 ",14,366.32,0,1,0,0,0,0,1,0
BOS," 935,978 ",14,334.76,0,1,0,0,1,0,0,0
SFO," 912,366 ",14,386.74,0,1,0,0,0,0,0,1
SEA," 902,901 ",14,347.31,0,1,0,0,0,0,0,1
EWR," 849,241 ",14,404.06,0,1,0,0,1,0,0,0
DFW," 819,377 ",14,385.25,0,1,0,0,0,0,1,0
JFK," 760,592 ",14,388.65,0,1,0,0,1,0,0,0
LGA," 720,310 ",14,332.71,0,1,0,0,1,0,0,0
MCO," 709,887 ",14,256.88,0,1,0,0,0,0,1,0
PHX," 701,600 ",14,348.46,0,1,0,0,0,0,0,1
MSP," 644,236 ",14,370.62,0,1,0,0,0,1,0,0
LAS," 631,585 ",14,247.02,0,1,0,0,0,0,0,1
PHL," 607,992 ",14,382.47,0,1,0,0,1,0,0,0
SAN," 568,746 ",14,336.22,0,1,0,0,0,0,0,1
DTW," 565,317 ",14,375.02,0,1,0,0,0,1,0,0
FLL," 536,275 ",14,246.06,0,1,0,0,0,0,1,0
BWI," 536,148 ",14,324.14,0,1,0,0,0,0,1,0
DCA," 516,863 ",14,366.56,0,1,0,0,0,0,1,0
IAH," 498,139 ",14,424.00,0,1,0,0,0,0,1,0
PDX," 481,330 ",14,337.58,0,1,0,0,0,0,0,1
TPA," 452,816 ",14,319.37,0,1,0,0,0,0,1,0
AUS," 412,378 ",14,348.67,0,1,0,0,0,0,1,0
SLC," 391,333 ",14,368.36,0,1,0,0,0,0,0,1
CLT," 386,574 ",14,436.99,0,1,0,0,0,0,1,0
SJC," 384,362 ",14,312.15,0,1,0,0,0,0,0,1
RDU," 364,230 ",14,356.01,0,1,0,0,0,0,1,0
MIA," 353,159 ",14,325.44,0,1,0,0,0,0,1,0
SMF," 353,135 ",14,360.81,0,1,0,0,0,0,0,1
BNA," 351,195 ",14,374.65,0,1,0,0,0,0,1,0
MDW," 339,365 ",14,308.93,0,1,0,0,0,1,0,0
OAK," 330,576 ",14,295.23,0,1,0,0,0,0,0,1
STL," 315,638 ",14,377.36,0,1,0,0,0,1,0,0
MCI," 299,998 ",14,362.07,0,1,0,0,0,1,0,0
HNL," 295,221 ",14,394.55,0,1,0,0,0,0,0,1
IAD," 283,462 ",14,435.35,0,1,0,0,0,0,1,0
DAL," 279,833 ",14,312.07,0,1,0,0,0,0,1,0
CLE," 275,412 ",14,325.66,0,1,0,0,0,1,0,0
MSY," 267,473 ",14,315.48,0,1,0,0,0,0,1,0
IND," 266,197 ",14,350.53,0,1,0,0,0,1,0,0
PIT," 264,483 ",14,356.25,0,1,0,0,1,0,0,0
SNA," 253,110 ",14,375.37,0,1,0,0,0,0,0,1
CVG," 250,926 ",14,321.38,0,1,0,0,0,1,0,0
SAT," 238,614 ",14,378.34,0,1,0,0,0,0,1,0
HOU," 235,116 ",14,355.38,0,1,0,0,0,0,1,0
CMH," 231,767 ",14,366.83,0,1,0,0,0,1,0,0
BDL," 206,307 ",14,394.58,0,1,0,0,1,0,0,0
SJU," 200,811 ",14,263.89,0,1,0,0,0,0,1,0
MKE," 196,915 ",14,342.22,0,1,0,0,0,1,0,0
RSW," 178,463 ",14,330.15,0,1,0,0,0,0,1,0
JAX," 172,463 ",14,378.46,0,1,0,0,0,0,1,0
BUR," 167,487 ",14,271.87,0,1,0,0,0,0,0,1
PBI," 158,587 ",14,334.64,0,1,0,0,0,0,1,0
ONT," 157,682 ",14,349.10,0,1,0,0,0,0,0,1
BUF," 144,958 ",14,309.77,0,1,0,0,1,0,0,0
OMA," 140,073 ",14,376.67,0,1,0,0,0,1,0,0
ABQ," 128,946 ",14,357.91,0,1,0,0,0,0,0,1
RIC," 126,251 ",14,422.25,0,1,0,0,0,0,1,0
MEM," 124,411 ",14,410.45,0,1,0,0,0,0,1,0
PVD," 117,256 ",14,333.62,0,1,0,0,1,0,0,0
OKC," 117,098 ",14,399.37,0,1,0,0,0,0,1,0
BOI," 112,882 ",14,359.48,0,1,0,0,0,0,0,1
ORF," 109,959 ",14,431.25,0,1,0,0,0,0,1,0
GRR," 108,277 ",14,405.74,0,1,0,0,0,1,0,0
SDF," 107,604 ",14,410.66,0,1,0,0,0,0,1,0
GEG," 107,090 ",14,360.87,0,1,0,0,0,0,0,1
CHS," 106,675 ",14,369.34,0,1,0,0,0,0,1,0
ANC," 106,205 ",14,450.13,0,1,0,0,0,0,0,1
RNO," 101,528 ",14,356.17,0,1,0,0,0,0,0,1
LGB," 99,852 ",14,213.25,0,1,0,0,0,0,0,1
OGG," 99,815 ",14,311.23,0,1,0,0,0,0,0,1
ELP," 97,152 ",14,382.70,0,1,0,0,0,0,1,0
TUS," 96,391 ",14,405.32,0,1,0,0,0,0,0,1
ALB," 89,018 ",14,406.82,0,1,0,0,1,0,0,0
DSM," 83,986 ",14,394.88,0,1,0,0,0,1,0,0
BHM," 83,344 ",14,458.76,0,1,0,0,0,0,1,0
TUL," 81,978 ",14,408.87,0,1,0,0,0,0,1,0
SYR," 77,477 ",14,404.99,0,1,0,0,1,0,0,0
ROC," 76,097 ",14,367.45,0,1,0,0,1,0,0,0
GSP," 68,771 ",14,451.92,0,1,0,0,0,0,1,0
MSN," 67,555 ",14,480.04,0,1,0,0,0,1,0,0
TYS," 65,985 ",14,469.62,0,1,0,0,0,0,1,0
LIT," 59,997 ",14,443.62,0,1,0,0,0,0,1,0
KOA," 58,932 ",14,311.78,0,1,0,0,0,0,0,1
PWM," 58,841 ",14,386.92,0,1,0,0,1,0,0,0
SAV," 58,711 ",14,391.90,0,1,0,0,0,0,1,0
GSO," 56,458 ",14,458.26,0,1,0,0,0,0,1,0
HPN," 55,315 ",14,422.75,0,1,0,0,1,0,0,0
SFB," 52,979 ",14,122.44,0,1,0,0,0,0,1,0
PNS," 51,668 ",14,448.72,0,1,0,0,0,0,1,0
LIH," 50,998 ",14,286.27,0,1,0,0,0,0,0,1
FAT," 50,668 ",14,440.41,0,1,0,0,0,0,0,1
MHT," 50,192 ",14,390.65,0,1,0,0,1,0,0,0
ICT," 49,142 ",14,417.06,0,1,0,0,0,1,0,0
DAY," 46,771 ",14,441.91,0,1,0,0,0,1,0,0
XNA," 46,289 ",14,555.78,0,1,0,0,0,0,1,0
ISP," 46,103 ",14,260.94,0,1,0,0,1,0,0,0
PIE," 44,522 ",14,129.75,0,1,0,0,0,0,1,0
LAX," 1,401,452 ",15,356.60,0,0,1,0,0,0,0,1
ORD," 1,118,136 ",15,335.77,0,0,1,0,0,1,0,0
DEN," 1,035,031 ",15,303.16,0,0,1,0,0,0,0,1
ATL," 980,434 ",15,365.96,0,0,1,0,0,0,1,0
BOS," 935,978 ",15,325.26,0,0,1,0,1,0,0,0
SFO," 912,366 ",15,375.07,0,0,1,0,0,0,0,1
SEA," 902,901 ",15,334.53,0,0,1,0,0,0,0,1
EWR," 849,241 ",15,403.31,0,0,1,0,1,0,0,0
DFW," 819,377 ",15,381.56,0,0,1,0,0,0,1,0
JFK," 760,592 ",15,384.04,0,0,1,0,1,0,0,0
LGA," 720,310 ",15,327.22,0,0,1,0,1,0,0,0
MCO," 709,887 ",15,250.71,0,0,1,0,0,0,1,0
PHX," 701,600 ",15,349.67,0,0,1,0,0,0,0,1
MSP," 644,236 ",15,367.85,0,0,1,0,0,1,0,0
LAS," 631,585 ",15,236.24,0,0,1,0,0,0,0,1
PHL," 607,992 ",15,380.10,0,0,1,0,1,0,0,0
SAN," 568,746 ",15,329.06,0,0,1,0,0,0,0,1
DTW," 565,317 ",15,367.51,0,0,1,0,0,1,0,0
FLL," 536,275 ",15,244.55,0,0,1,0,0,0,1,0
BWI," 536,148 ",15,322.56,0,0,1,0,0,0,1,0
DCA," 516,863 ",15,358.66,0,0,1,0,0,0,1,0
IAH," 498,139 ",15,413.99,0,0,1,0,0,0,1,0
PDX," 481,330 ",15,327.71,0,0,1,0,0,0,0,1
TPA," 452,816 ",15,316.89,0,0,1,0,0,0,1,0
AUS," 412,378 ",15,333.63,0,0,1,0,0,0,1,0
SLC," 391,333 ",15,357.94,0,0,1,0,0,0,0,1
CLT," 386,574 ",15,427.82,0,0,1,0,0,0,1,0
SJC," 384,362 ",15,306.24,0,0,1,0,0,0,0,1
RDU," 364,230 ",15,343.60,0,0,1,0,0,0,1,0
MIA," 353,159 ",15,317.91,0,0,1,0,0,0,1,0
SMF," 353,135 ",15,346.63,0,0,1,0,0,0,0,1
BNA," 351,195 ",15,349.48,0,0,1,0,0,0,1,0
MDW," 339,365 ",15,311.93,0,0,1,0,0,1,0,0
OAK," 330,576 ",15,292.70,0,0,1,0,0,0,0,1
STL," 315,638 ",15,373.02,0,0,1,0,0,1,0,0
MCI," 299,998 ",15,351.21,0,0,1,0,0,1,0,0
HNL," 295,221 ",15,383.50,0,0,1,0,0,0,0,1
IAD," 283,462 ",15,432.64,0,0,1,0,0,0,1,0
DAL," 279,833 ",15,309.54,0,0,1,0,0,0,1,0
CLE," 275,412 ",15,323.03,0,0,1,0,0,1,0,0
MSY," 267,473 ",15,299.59,0,0,1,0,0,0,1,0
IND," 266,197 ",15,347.88,0,0,1,0,0,1,0,0
PIT," 264,483 ",15,356.49,0,0,1,0,1,0,0,0
SNA," 253,110 ",15,377.08,0,0,1,0,0,0,0,1
CVG," 250,926 ",15,316.73,0,0,1,0,0,1,0,0
SAT," 238,614 ",15,352.33,0,0,1,0,0,0,1,0
HOU," 235,116 ",15,348.38,0,0,1,0,0,0,1,0
CMH," 231,767 ",15,364.49,0,0,1,0,0,1,0,0
BDL," 206,307 ",15,377.87,0,0,1,0,1,0,0,0
SJU," 200,811 ",15,278.18,0,0,1,0,0,0,1,0
MKE," 196,915 ",15,339.30,0,0,1,0,0,1,0,0
RSW," 178,463 ",15,325.65,0,0,1,0,0,0,1,0
JAX," 172,463 ",15,355.23,0,0,1,0,0,0,1,0
BUR," 167,487 ",15,278.71,0,0,1,0,0,0,0,1
PBI," 158,587 ",15,335.31,0,0,1,0,0,0,1,0
ONT," 157,682 ",15,342.63,0,0,1,0,0,0,0,1
BUF," 144,958 ",15,309.24,0,0,1,0,1,0,0,0
OMA," 140,073 ",15,350.93,0,0,1,0,0,1,0,0
ABQ," 128,946 ",15,349.38,0,0,1,0,0,0,0,1
RIC," 126,251 ",15,399.47,0,0,1,0,0,0,1,0
MEM," 124,411 ",15,396.93,0,0,1,0,0,0,1,0
PVD," 117,256 ",15,322.73,0,0,1,0,1,0,0,0
OKC," 117,098 ",15,389.95,0,0,1,0,0,0,1,0
BOI," 112,882 ",15,346.92,0,0,1,0,0,0,0,1
ORF," 109,959 ",15,409.79,0,0,1,0,0,0,1,0
GRR," 108,277 ",15,401.40,0,0,1,0,0,1,0,0
SDF," 107,604 ",15,392.73,0,0,1,0,0,0,1,0
GEG," 107,090 ",15,343.51,0,0,1,0,0,0,0,1
CHS," 106,675 ",15,348.04,0,0,1,0,0,0,1,0
ANC," 106,205 ",15,430.11,0,0,1,0,0,0,0,1
RNO," 101,528 ",15,364.49,0,0,1,0,0,0,0,1
LGB," 99,852 ",15,232.80,0,0,1,0,0,0,0,1
OGG," 99,815 ",15,301.03,0,0,1,0,0,0,0,1
ELP," 97,152 ",15,376.20,0,0,1,0,0,0,1,0
TUS," 96,391 ",15,402.44,0,0,1,0,0,0,0,1
ALB," 89,018 ",15,418.41,0,0,1,0,1,0,0,0
DSM," 83,986 ",15,379.60,0,0,1,0,0,1,0,0
BHM," 83,344 ",15,448.70,0,0,1,0,0,0,1,0
TUL," 81,978 ",15,396.10,0,0,1,0,0,0,1,0
SYR," 77,477 ",15,384.38,0,0,1,0,1,0,0,0
ROC," 76,097 ",15,369.75,0,0,1,0,1,0,0,0
GSP," 68,771 ",15,422.82,0,0,1,0,0,0,1,0
MSN," 67,555 ",15,459.66,0,0,1,0,0,1,0,0
TYS," 65,985 ",15,448.48,0,0,1,0,0,0,1,0
LIT," 59,997 ",15,427.17,0,0,1,0,0,0,1,0
KOA," 58,932 ",15,293.14,0,0,1,0,0,0,0,1
PWM," 58,841 ",15,368.38,0,0,1,0,1,0,0,0
SAV," 58,711 ",15,366.69,0,0,1,0,0,0,1,0
GSO," 56,458 ",15,438.65,0,0,1,0,0,0,1,0
HPN," 55,315 ",15,390.96,0,0,1,0,1,0,0,0
SFB," 52,979 ",15,121.52,0,0,1,0,0,0,1,0
PNS," 51,668 ",15,429.85,0,0,1,0,0,0,1,0
LIH," 50,998 ",15,273.02,0,0,1,0,0,0,0,1
FAT," 50,668 ",15,420.31,0,0,1,0,0,0,0,1
MHT," 50,192 ",15,387.16,0,0,1,0,1,0,0,0
ICT," 49,142 ",15,397.04,0,0,1,0,0,1,0,0
DAY," 46,771 ",15,429.99,0,0,1,0,0,1,0,0
XNA," 46,289 ",15,530.26,0,0,1,0,0,0,1,0
ISP," 46,103 ",15,256.41,0,0,1,0,1,0,0,0
PIE," 44,522 ",15,126.45,0,0,1,0,0,0,1,0
LAX," 1,401,452 ",16,380.24,0,0,0,1,0,0,0,1
ORD," 1,118,136 ",16,367.08,0,0,0,1,0,1,0,0
DEN," 1,035,031 ",16,319.35,0,0,0,1,0,0,0,1
ATL," 980,434 ",16,376.99,0,0,0,1,0,0,1,0
BOS," 935,978 ",16,353.04,0,0,0,1,1,0,0,0
SFO," 912,366 ",16,417.96,0,0,0,1,0,0,0,1
SEA," 902,901 ",16,360.56,0,0,0,1,0,0,0,1
EWR," 849,241 ",16,430.66,0,0,0,1,1,0,0,0
DFW," 819,377 ",16,415.62,0,0,0,1,0,0,1,0
JFK," 760,592 ",16,421.22,0,0,0,1,1,0,0,0
LGA," 720,310 ",16,360.46,0,0,0,1,1,0,0,0
MCO," 709,887 ",16,263.00,0,0,0,1,0,0,1,0
PHX," 701,600 ",16,359.19,0,0,0,1,0,0,0,1
MSP," 644,236 ",16,386.40,0,0,0,1,0,1,0,0
LAS," 631,585 ",16,254.68,0,0,0,1,0,0,0,1
PHL," 607,992 ",16,404.61,0,0,0,1,1,0,0,0
SAN," 568,746 ",16,347.27,0,0,0,1,0,0,0,1
DTW," 565,317 ",16,397.79,0,0,0,1,0,1,0,0
FLL," 536,275 ",16,263.98,0,0,0,1,0,0,1,0
BWI," 536,148 ",16,339.66,0,0,0,1,0,0,1,0
DCA," 516,863 ",16,379.35,0,0,0,1,0,0,1,0
IAH," 498,139 ",16,428.46,0,0,0,1,0,0,1,0
PDX," 481,330 ",16,349.33,0,0,0,1,0,0,0,1
TPA," 452,816 ",16,321.69,0,0,0,1,0,0,1,0
AUS," 412,378 ",16,362.41,0,0,0,1,0,0,1,0
SLC," 391,333 ",16,378.50,0,0,0,1,0,0,0,1
CLT," 386,574 ",16,441.43,0,0,0,1,0,0,1,0
SJC," 384,362 ",16,315.75,0,0,0,1,0,0,0,1
RDU," 364,230 ",16,354.82,0,0,0,1,0,0,1,0
MIA," 353,159 ",16,338.95,0,0,0,1,0,0,1,0
SMF," 353,135 ",16,346.34,0,0,0,1,0,0,0,1
BNA," 351,195 ",16,350.29,0,0,0,1,0,0,1,0
MDW," 339,365 ",16,328.46,0,0,0,1,0,1,0,0
OAK," 330,576 ",16,309.49,0,0,0,1,0,0,0,1
STL," 315,638 ",16,370.14,0,0,0,1,0,1,0,0
MCI," 299,998 ",16,355.29,0,0,0,1,0,1,0,0
HNL," 295,221 ",16,388.58,0,0,0,1,0,0,0,1
IAD," 283,462 ",16,445.47,0,0,0,1,0,0,1,0
DAL," 279,833 ",16,322.59,0,0,0,1,0,0,1,0
CLE," 275,412 ",16,334.93,0,0,0,1,0,1,0,0
MSY," 267,473 ",16,313.34,0,0,0,1,0,0,1,0
IND," 266,197 ",16,371.15,0,0,0,1,0,1,0,0
PIT," 264,483 ",16,370.97,0,0,0,1,1,0,0,0
SNA," 253,110 ",16,415.37,0,0,0,1,0,0,0,1
CVG," 250,926 ",16,343.48,0,0,0,1,0,1,0,0
SAT," 238,614 ",16,362.97,0,0,0,1,0,0,1,0
HOU," 235,116 ",16,352.42,0,0,0,1,0,0,1,0
CMH," 231,767 ",16,364.68,0,0,0,1,0,1,0,0
BDL," 206,307 ",16,390.36,0,0,0,1,1,0,0,0
SJU," 200,811 ",16,311.66,0,0,0,1,0,0,1,0
MKE," 196,915 ",16,359.65,0,0,0,1,0,1,0,0
RSW," 178,463 ",16,326.24,0,0,0,1,0,0,1,0
JAX," 172,463 ",16,359.68,0,0,0,1,0,0,1,0
BUR," 167,487 ",16,283.55,0,0,0,1,0,0,0,1
PBI," 158,587 ",16,357.47,0,0,0,1,0,0,1,0
ONT," 157,682 ",16,342.48,0,0,0,1,0,0,0,1
BUF," 144,958 ",16,313.73,0,0,0,1,1,0,0,0
OMA," 140,073 ",16,362.86,0,0,0,1,0,1,0,0
ABQ," 128,946 ",16,368.39,0,0,0,1,0,0,0,1
RIC," 126,251 ",16,403.72,0,0,0,1,0,0,1,0
MEM," 124,411 ",16,396.57,0,0,0,1,0,0,1,0
PVD," 117,256 ",16,347.56,0,0,0,1,1,0,0,0
OKC," 117,098 ",16,391.98,0,0,0,1,0,0,1,0
BOI," 112,882 ",16,355.15,0,0,0,1,0,0,0,1
ORF," 109,959 ",16,410.07,0,0,0,1,0,0,1,0
GRR," 108,277 ",16,392.78,0,0,0,1,0,1,0,0
SDF," 107,604 ",16,384.27,0,0,0,1,0,0,1,0
GEG," 107,090 ",16,353.58,0,0,0,1,0,0,0,1
CHS," 106,675 ",16,359.63,0,0,0,1,0,0,1,0
ANC," 106,205 ",16,511.44,0,0,0,1,0,0,0,1
RNO," 101,528 ",16,352.58,0,0,0,1,0,0,0,1
LGB," 99,852 ",16,250.53,0,0,0,1,0,0,0,1
OGG," 99,815 ",16,294.08,0,0,0,1,0,0,0,1
ELP," 97,152 ",16,385.64,0,0,0,1,0,0,1,0
TUS," 96,391 ",16,405.19,0,0,0,1,0,0,0,1
ALB," 89,018 ",16,403.61,0,0,0,1,1,0,0,0
DSM," 83,986 ",16,389.78,0,0,0,1,0,1,0,0
BHM," 83,344 ",16,447.06,0,0,0,1,0,0,1,0
TUL," 81,978 ",16,404.83,0,0,0,1,0,0,1,0
SYR," 77,477 ",16,387.93,0,0,0,1,1,0,0,0
ROC," 76,097 ",16,372.02,0,0,0,1,1,0,0,0
GSP," 68,771 ",16,412.46,0,0,0,1,0,0,1,0
MSN," 67,555 ",16,460.89,0,0,0,1,0,1,0,0
TYS," 65,985 ",16,451.53,0,0,0,1,0,0,1,0
LIT," 59,997 ",16,426.04,0,0,0,1,0,0,1,0
KOA," 58,932 ",16,292.05,0,0,0,1,0,0,0,1
PWM," 58,841 ",16,358.04,0,0,0,1,1,0,0,0
SAV," 58,711 ",16,380.35,0,0,0,1,0,0,1,0
GSO," 56,458 ",16,432.96,0,0,0,1,0,0,1,0
HPN," 55,315 ",16,447.90,0,0,0,1,1,0,0,0
SFB," 52,979 ",16,137.50,0,0,0,1,0,0,1,0
PNS," 51,668 ",16,431.78,0,0,0,1,0,0,1,0
LIH," 50,998 ",16,272.16,0,0,0,1,0,0,0,1
FAT," 50,668 ",16,429.80,0,0,0,1,0,0,0,1
MHT," 50,192 ",16,392.19,0,0,0,1,1,0,0,0
ICT," 49,142 ",16,400.85,0,0,0,1,0,1,0,0
DAY," 46,771 ",16,436.69,0,0,0,1,0,1,0,0
XNA," 46,289 ",16,550.92,0,0,0,1,0,0,1,0
ISP," 46,103 ",16,294.39,0,0,0,1,1,0,0,0
PIE," 44,522 ",16,143.69,0,0,0,1,0,0,1,0
LAX," 1,401,452 ",17,340.72,1,0,0,0,0,0,0,1
ORD," 1,118,136 ",17,360.47,1,0,0,0,0,1,0,0
